diet,education,ethnicity,religion,speaks
other,graduated from high school,white,other,english
anything,graduated from masters program,"asian, white",catholicism,"english (fluently), french (fluently)"
vegetarian,graduated from college/university,hispanic / latin,catholicism,"english (fluently), spanish (fluently), farsi (poorly)"
anything,graduated from high school,asian,christianity,"english (fluently), chinese (fluently), spanish (poorly), c++"
anything,graduated from ph.d program,white,judaism,english
anything,graduated from high school,white,agnosticism,"english (fluently), german (poorly)"
anything,graduated from masters program,white,other,"english (fluently), german (fluently), french (okay)"
other,graduated from college/university,white,atheism,"english (fluently), german (fluently), spanish (poorly)"
anything,graduated from college/university,white,judaism,"english (fluently), russian (fluently), spanish (okay), hebrew (poorly)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from high school,"black, white",other,english
anything,graduated from masters program,white,christianity,english
anything,graduated from high school,white,christianity,english (fluently)
anything,graduated from college/university,white,catholicism,"english (fluently), italian (okay), french (poorly)"
anything,graduated from college/university,asian,agnosticism,"english (fluently), chinese (fluently)"
vegetarian,graduated from college/university,white,atheism,english (fluently)
vegetarian,graduated from college/university,"white, other",agnosticism,english
anything,graduated from high school,white,christianity,english (fluently)
vegetarian,graduated from college/university,white,christianity,"english (fluently), spanish (poorly), french (poorly)"
vegetarian,graduated from college/university,white,atheism,"english (fluently), spanish (poorly), french (poorly)"
anything,graduated from college/university,asian,agnosticism,"english (fluently), chinese (okay), spanish (poorly)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from college/university,white,other,"english (fluently), japanese (okay), chinese (poorly)"
vegetarian,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,indian,agnosticism,english (fluently)
anything,graduated from college/university,white,catholicism,english
anything,graduated from high school,hispanic / latin,christianity,"english (fluently), spanish (fluently), sign language (okay)"
anything,graduated from college/university,"hispanic / latin, white",christianity,"english (fluently), spanish (okay), german (okay), japanese (poorly)"
anything,graduated from college/university,hispanic / latin,agnosticism,"english (fluently), spanish (fluently)"
anything,graduated from college/university,asian,agnosticism,english (fluently)
anything,graduated from high school,white,atheism,"english (fluently), japanese (okay)"
anything,graduated from college/university,white,atheism,english
anything,graduated from high school,white,atheism,english (fluently)
anything,graduated from college/university,white,atheism,english
anything,graduated from masters program,white,agnosticism,"english (fluently), french (fluently), japanese (okay)"
vegetarian,graduated from masters program,white,buddhism,english
anything,graduated from college/university,white,christianity,"english (fluently), spanish (fluently), russian (fluently), arabic (okay), chinese (okay)"
anything,graduated from high school,hispanic / latin,atheism,"english (fluently), spanish (okay)"
anything,graduated from high school,"hispanic / latin, other",catholicism,"english (fluently), spanish (fluently)"
anything,graduated from high school,white,agnosticism,english (fluently)
anything,graduated from high school,white,agnosticism,"english (fluently), spanish (poorly), sign language (poorly)"
anything,graduated from college/university,white,other,"english, german"
anything,graduated from college/university,white,judaism,english
anything,graduated from college/university,white,catholicism,english
anything,graduated from college/university,white,judaism,english
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,catholicism,english
anything,graduated from masters program,asian,christianity,"english, english, chinese"
anything,graduated from college/university,white,agnosticism,english
vegetarian,graduated from college/university,asian,atheism,english
other,graduated from college/university,"black, native american, white",christianity,"english (fluently), french (okay), arabic (poorly), chinese (poorly), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english, german"
anything,graduated from college/university,"asian, white",agnosticism,english (fluently)
anything,graduated from college/university,white,christianity,english (fluently)
anything,graduated from ph.d program,white,atheism,"english, french (okay), spanish (poorly)"
vegetarian,graduated from college/university,white,atheism,english
anything,graduated from college/university,hispanic / latin,atheism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,judaism,english
anything,graduated from college/university,white,atheism,english (fluently)
anything,graduated from high school,asian,agnosticism,"english (okay), tagalog (fluently), japanese (poorly), chinese (poorly)"
anything,graduated from college/university,white,judaism,"english, french (poorly), hebrew (poorly)"
anything,graduated from college/university,white,catholicism,"english, french, irish"
anything,graduated from college/university,"asian, pacific islander",catholicism,"english (fluently), tagalog (fluently), spanish (okay)"
halal,graduated from masters program,other,atheism,english (okay)
anything,graduated from college/university,pacific islander,catholicism,english (fluently)
other,graduated from college/university,white,other,english
anything,graduated from college/university,white,agnosticism,"english (fluently), italian (okay), spanish (fluently), french (okay), portuguese (okay)"
anything,graduated from college/university,pacific islander,catholicism,english
anything,graduated from masters program,white,atheism,"english, german (okay)"
other,graduated from high school,white,atheism,"english (fluently), russian (fluently), spanish (poorly)"
anything,graduated from college/university,white,atheism,"english, spanish (poorly)"
anything,graduated from masters program,white,agnosticism,"english, norwegian (poorly)"
anything,graduated from college/university,white,buddhism,"english, french (poorly)"
anything,graduated from high school,white,buddhism,"english, spanish (poorly)"
anything,graduated from college/university,other,other,english
anything,graduated from ph.d program,white,atheism,"english (fluently), french (fluently)"
vegetarian,graduated from masters program,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",other,"english (fluently), other (poorly)"
vegetarian,graduated from college/university,"white, other",atheism,"english, french (okay)"
anything,graduated from college/university,white,christianity,"english, swahili (poorly)"
other,graduated from college/university,other,judaism,"english (fluently), spanish (fluently), portuguese (fluently), french (poorly)"
anything,graduated from college/university,white,judaism,"english (fluently), french (okay)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from high school,white,other,"english (fluently), spanish (poorly)"
anything,graduated from high school,"asian, white",other,english
anything,graduated from college/university,"hispanic / latin, white",agnosticism,english (fluently)
anything,graduated from college/university,asian,other,"english (fluently), chinese (okay)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,black,christianity,english
anything,graduated from college/university,black,other,english
anything,graduated from college/university,"pacific islander, hispanic / latin",agnosticism,"english, spanish (okay), tagalog (poorly)"
anything,graduated from high school,black,other,english (okay)
anything,graduated from college/university,hispanic / latin,catholicism,"english (fluently), spanish (fluently), portuguese (poorly), japanese (poorly)"
anything,graduated from college/university,"black, other",christianity,english
anything,graduated from high school,asian,agnosticism,"english, chinese"
anything,graduated from college/university,white,judaism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,buddhism,"english (fluently), french (okay)"
anything,graduated from college/university,asian,agnosticism,english
vegetarian,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,atheism,english
other,graduated from college/university,"hispanic / latin, white",other,"english (fluently), spanish (fluently)"
anything,graduated from college/university,white,other,english (okay)
anything,graduated from masters program,middle eastern,islam,"english (fluently), arabic (okay), spanish (okay)"
vegetarian,graduated from college/university,white,hinduism,"english, spanish (poorly)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from college/university,white,other,english (fluently)
other,graduated from masters program,white,other,english (fluently)
anything,graduated from masters program,"pacific islander, white",agnosticism,english
anything,graduated from college/university,asian,christianity,"english, spanish (okay), indonesian (okay)"
anything,graduated from college/university,white,other,english (fluently)
vegetarian,graduated from masters program,white,buddhism,english (fluently)
anything,graduated from college/university,white,christianity,"english, spanish (poorly)"
anything,graduated from masters program,white,agnosticism,english
anything,graduated from masters program,white,judaism,english
anything,graduated from high school,"hispanic / latin, white",atheism,"english (fluently), spanish (fluently)"
anything,graduated from college/university,white,agnosticism,"english, arabic (poorly), french (poorly)"
vegetarian,graduated from masters program,white,agnosticism,"english (fluently), japanese (okay)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,"asian, white",agnosticism,"english (fluently), spanish (fluently)"
anything,graduated from masters program,asian,christianity,"english (fluently), french (poorly), chinese (fluently)"
anything,graduated from high school,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from high school,white,atheism,"english, c++"
anything,graduated from masters program,white,catholicism,english
anything,graduated from college/university,white,christianity,"english (fluently), spanish (fluently), french (poorly)"
anything,graduated from masters program,indian,other,english
anything,graduated from high school,hispanic / latin,catholicism,"english (okay), spanish (fluently)"
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from masters program,white,agnosticism,"english (fluently), spanish (fluently), c++ (fluently)"
anything,graduated from masters program,white,agnosticism,"english (fluently), spanish (fluently)"
anything,graduated from masters program,black,christianity,english (fluently)
anything,graduated from college/university,hispanic / latin,catholicism,"english (fluently), spanish (fluently)"
anything,graduated from college/university,white,atheism,english (fluently)
anything,graduated from college/university,white,other,english (fluently)
other,graduated from college/university,white,other,english
vegetarian,graduated from college/university,white,other,english
other,graduated from masters program,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,atheism,english
anything,graduated from high school,white,atheism,english (fluently)
anything,graduated from college/university,asian,christianity,"english (fluently), chinese (fluently), other (okay)"
vegetarian,graduated from college/university,white,other,"english (fluently), spanish (poorly)"
anything,graduated from college/university,asian,buddhism,"english (fluently), other (fluently)"
anything,graduated from high school,white,atheism,"english (fluently), latin (poorly)"
other,graduated from college/university,asian,other,english
anything,graduated from masters program,hispanic / latin,catholicism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from high school,hispanic / latin,catholicism,"english (fluently), spanish (poorly)"
anything,graduated from high school,asian,atheism,"english (fluently), spanish (poorly), chinese (okay)"
other,graduated from masters program,white,atheism,"english (fluently), swedish (fluently), german (poorly), russian (poorly)"
anything,graduated from masters program,white,other,"english (fluently), german (fluently)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from high school,white,agnosticism,"english (fluently), chinese (poorly), japanese (okay)"
anything,graduated from college/university,white,atheism,"english (fluently), c++ (okay)"
anything,graduated from college/university,asian,catholicism,"english (fluently), tagalog (fluently), spanish (okay), japanese (poorly)"
anything,graduated from masters program,"hispanic / latin, white",atheism,"english (fluently), c++ (fluently), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english, irish (poorly), spanish (okay), french (poorly)"
vegan,graduated from college/university,white,other,"english (fluently), greek (poorly)"
anything,graduated from college/university,"native american, white",atheism,"english (fluently), occitan (okay)"
anything,graduated from college/university,white,atheism,"english, spanish (okay), french (poorly)"
anything,graduated from masters program,other,other,"english (fluently), italian (okay), spanish (okay)"
kosher,graduated from college/university,"hispanic / latin, other",other,"english (fluently), spanish (okay)"
other,graduated from college/university,asian,catholicism,english
anything,graduated from college/university,white,agnosticism,"english, spanish (poorly)"
anything,graduated from masters program,white,agnosticism,english
anything,graduated from masters program,asian,christianity,"english (fluently), tagalog (okay), spanish (okay), korean (poorly)"
anything,graduated from high school,"asian, black, white",agnosticism,english
anything,graduated from high school,"hispanic / latin, white, other",agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,"pacific islander, white",catholicism,english
anything,graduated from college/university,white,catholicism,english (fluently)
vegetarian,graduated from ph.d program,"middle eastern, white",atheism,"english (fluently), french (fluently), farsi (fluently), german (okay)"
anything,graduated from masters program,white,agnosticism,english
anything,graduated from college/university,hispanic / latin,agnosticism,"english (fluently), spanish (okay), french (poorly), italian (poorly)"
anything,graduated from masters program,white,agnosticism,"english (fluently), spanish (poorly), ancient greek (poorly), irish (okay)"
anything,graduated from college/university,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,"native american, white",catholicism,"english (fluently), french (poorly), german (poorly), spanish (poorly)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,"indian, pacific islander",agnosticism,"english (fluently), hindi (poorly), ancient greek (poorly), other (poorly)"
anything,graduated from college/university,white,atheism,"english, dutch (fluently)"
anything,graduated from masters program,white,agnosticism,english (fluently)
vegetarian,graduated from college/university,white,other,"english, spanish"
anything,graduated from college/university,white,judaism,"english (fluently), spanish (okay)"
vegetarian,graduated from college/university,white,agnosticism,english
anything,graduated from masters program,asian,agnosticism,"english (fluently), chinese (okay)"
vegetarian,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,catholicism,"english, latin"
anything,graduated from masters program,"indian, other",other,english (fluently)
anything,graduated from masters program,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,"black, native american",christianity,english
vegetarian,graduated from masters program,indian,other,"english (fluently), spanish (fluently), gujarati (fluently), hindi (fluently)"
vegetarian,graduated from masters program,white,christianity,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english, french, c++ (poorly)"
anything,graduated from college/university,asian,atheism,"english (fluently), c++ (okay)"
anything,graduated from masters program,"white, other",agnosticism,english (fluently)
anything,graduated from college/university,white,atheism,"english (fluently), japanese (poorly)"
anything,graduated from college/university,asian,other,english
anything,graduated from college/university,white,agnosticism,"english (fluently), french (poorly), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,agnosticism,english (fluently)
vegetarian,graduated from college/university,other,agnosticism,"english (fluently), swahili (okay), urdu (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay)"
anything,graduated from college/university,asian,catholicism,english
anything,graduated from masters program,white,catholicism,english (fluently)
anything,graduated from college/university,"white, other",agnosticism,english (fluently)
anything,graduated from college/university,indian,buddhism,"english (fluently), hindi (poorly)"
anything,graduated from masters program,asian,christianity,"english (fluently), french (poorly), korean (poorly)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,asian,agnosticism,english
anything,graduated from college/university,white,catholicism,english (fluently)
vegetarian,graduated from college/university,white,agnosticism,"english (fluently), italian (poorly)"
anything,graduated from masters program,white,agnosticism,english
anything,graduated from high school,asian,buddhism,"english (fluently), vietnamese (okay)"
anything,graduated from college/university,"hispanic / latin, other",other,english
anything,graduated from college/university,white,catholicism,"english (fluently), french (poorly), spanish (poorly)"
anything,graduated from college/university,asian,buddhism,"english, chinese"
anything,graduated from high school,"native american, white",atheism,english
anything,graduated from college/university,"asian, white, other",buddhism,english
anything,graduated from masters program,white,catholicism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,"white, other",agnosticism,"english (fluently), italian (poorly)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,christianity,english
anything,graduated from masters program,white,judaism,"english (fluently), japanese (okay)"
anything,graduated from college/university,"middle eastern, white, other",christianity,"english, spanish (okay)"
anything,graduated from high school,white,agnosticism,"english (fluently), c++ (okay), lisp (okay)"
anything,graduated from college/university,white,atheism,"english (fluently), c++ (poorly)"
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from masters program,asian,other,"english (fluently), chinese (fluently)"
anything,graduated from college/university,"asian, white",agnosticism,"english, spanish (okay), chinese (poorly)"
anything,graduated from masters program,white,atheism,"english (fluently), german (okay)"
anything,graduated from masters program,white,christianity,english
vegetarian,graduated from high school,white,atheism,"english (fluently), japanese (okay), spanish (poorly), portuguese (poorly)"
anything,graduated from college/university,"native american, white",agnosticism,english (fluently)
anything,graduated from masters program,white,other,"english (fluently), czech (poorly)"
anything,graduated from college/university,white,other,english
vegetarian,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,agnosticism,"english (fluently), german (okay), spanish (poorly)"
other,graduated from high school,white,christianity,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), french (okay)"
vegetarian,graduated from college/university,white,atheism,english
vegetarian,graduated from masters program,white,agnosticism,english
other,graduated from college/university,white,atheism,"english (fluently), french (fluently), italian (fluently), portuguese (poorly)"
anything,graduated from college/university,white,catholicism,english
other,graduated from masters program,white,catholicism,"english, spanish"
anything,graduated from masters program,white,other,"english (fluently), german (poorly)"
anything,graduated from college/university,white,judaism,"english, french"
anything,graduated from masters program,white,other,english
anything,graduated from college/university,white,christianity,"english (fluently), spanish (okay)"
vegetarian,graduated from masters program,"asian, pacific islander",buddhism,"english, hawaiian (okay), japanese (okay), french (okay), spanish (okay)"
vegetarian,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,christianity,english
anything,graduated from masters program,hispanic / latin,catholicism,"english (fluently), spanish (fluently)"
anything,graduated from college/university,white,other,english
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,indian,hinduism,"english (fluently), hindi (fluently)"
other,graduated from college/university,other,other,english (fluently)
anything,graduated from high school,pacific islander,christianity,"english, japanese (okay)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,"asian, hispanic / latin",agnosticism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay), french (poorly), irish (poorly)"
other,graduated from college/university,asian,agnosticism,"english (fluently), chinese (okay)"
other,graduated from college/university,"white, other",other,"english (fluently), russian (okay), russian (poorly)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,"asian, white",agnosticism,english
anything,graduated from high school,"middle eastern, hispanic / latin, other",other,"english (fluently), tagalog (okay)"
anything,graduated from masters program,white,atheism,"english (fluently), latin (fluently), ancient greek (fluently), german (poorly), italian (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from masters program,white,agnosticism,"english, spanish (poorly), korean (poorly)"
vegetarian,graduated from masters program,white,other,english
anything,graduated from high school,asian,christianity,english
anything,graduated from masters program,"asian, white",christianity,english
anything,graduated from college/university,middle eastern,agnosticism,"english (fluently), farsi (fluently), spanish (fluently), french (okay)"
anything,graduated from college/university,white,agnosticism,english (fluently)
other,graduated from college/university,"black, native american, white",other,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,atheism,"english, spanish (poorly)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from masters program,white,judaism,english (fluently)
anything,graduated from masters program,white,catholicism,"english (fluently), french (okay), spanish (poorly), german (poorly)"
anything,graduated from high school,white,agnosticism,"english (fluently), french (okay), latin (okay)"
anything,graduated from college/university,black,other,"english, spanish (poorly)"
anything,graduated from college/university,white,atheism,"english (fluently), german (fluently), french (okay)"
anything,graduated from college/university,white,atheism,english
anything,graduated from masters program,"indian, white, other",agnosticism,english (fluently)
anything,graduated from college/university,"asian, pacific islander",catholicism,english
anything,graduated from college/university,white,catholicism,"english (fluently), german (okay), croatian (okay), chinese (poorly)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,agnosticism,"english (fluently), german (okay), japanese (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,judaism,english
vegetarian,graduated from college/university,white,other,english
anything,graduated from masters program,white,atheism,english (fluently)
anything,graduated from college/university,white,judaism,english
anything,graduated from college/university,white,atheism,"english, c++ (okay)"
vegetarian,graduated from college/university,white,christianity,english
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,asian,christianity,english (fluently)
vegetarian,graduated from masters program,white,agnosticism,"english (fluently), spanish (poorly)"
vegetarian,graduated from college/university,white,judaism,"english, english"
anything,graduated from high school,white,agnosticism,english
vegetarian,graduated from college/university,white,atheism,"english (fluently), italian (poorly)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from masters program,white,atheism,english (fluently)
vegetarian,graduated from masters program,white,atheism,english (fluently)
anything,graduated from college/university,white,christianity,"english, english"
anything,graduated from masters program,white,christianity,"english (fluently), german (okay), spanish (poorly)"
anything,graduated from college/university,hispanic / latin,christianity,"english (fluently), spanish (fluently)"
anything,graduated from college/university,black,other,english (fluently)
anything,graduated from college/university,white,agnosticism,english
anything,graduated from high school,white,other,"english, english (fluently), spanish (poorly)"
anything,graduated from college/university,white,other,english
anything,graduated from high school,white,other,"english (fluently), spanish (poorly)"
anything,graduated from high school,"hispanic / latin, white",other,english (fluently)
anything,graduated from high school,hispanic / latin,christianity,english
anything,graduated from college/university,indian,hinduism,"english (fluently), hindi (fluently), spanish (poorly), urdu (okay), sanskrit (okay)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,atheism,"english (fluently), italian (poorly), spanish (poorly)"
kosher,graduated from college/university,white,judaism,"english (fluently), chinese (okay)"
anything,graduated from college/university,"native american, white, other",other,english
vegetarian,graduated from masters program,"asian, indian",hinduism,"english (fluently), hindi (fluently)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from masters program,"middle eastern, white",agnosticism,"english (fluently), spanish (okay), farsi (poorly)"
anything,graduated from college/university,white,christianity,english (poorly)
vegan,graduated from high school,"asian, white",agnosticism,english (poorly)
vegetarian,graduated from college/university,"native american, white",agnosticism,english
anything,graduated from college/university,white,judaism,english
anything,graduated from masters program,"hispanic / latin, white",agnosticism,"english, spanish (okay), latin (okay)"
anything,graduated from college/university,white,christianity,"english (fluently), c++ (poorly), spanish (poorly)"
anything,graduated from high school,white,christianity,english
anything,graduated from college/university,hispanic / latin,other,"english (fluently), spanish (fluently)"
anything,graduated from high school,"asian, pacific islander",atheism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly), c++ (poorly)"
anything,graduated from high school,white,judaism,"english, french (poorly), japanese (poorly), yiddish (okay), hebrew (poorly)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,agnosticism,english
vegetarian,graduated from ph.d program,white,other,"english, french (poorly)"
vegetarian,graduated from college/university,other,other,"english (fluently), spanish (poorly)"
anything,graduated from high school,"hispanic / latin, white",other,english (fluently)
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from college/university,white,christianity,"english, spanish (poorly)"
anything,graduated from college/university,white,christianity,english (fluently)
anything,graduated from college/university,white,atheism,"english, spanish (okay)"
vegan,graduated from high school,"hispanic / latin, white",other,english (fluently)
vegetarian,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (fluently), french (okay), german (poorly)"
other,graduated from ph.d program,white,agnosticism,english
other,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from masters program,black,christianity,english
anything,graduated from college/university,white,agnosticism,english
kosher,graduated from high school,white,christianity,"english, other (fluently)"
anything,graduated from high school,white,atheism,"english (fluently), spanish (poorly), portuguese (poorly)"
anything,graduated from high school,asian,other,"english (fluently), english (fluently)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay)"
vegetarian,graduated from college/university,"hispanic / latin, white",buddhism,"english, spanish (fluently), italian (okay), portuguese (poorly)"
anything,graduated from college/university,white,atheism,english (fluently)
anything,graduated from ph.d program,white,agnosticism,"english, russian"
anything,graduated from college/university,white,agnosticism,"english, russian, sanskrit"
anything,graduated from masters program,white,other,"english (fluently), russian (fluently), german (okay), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), english (okay), english (poorly)"
vegetarian,graduated from college/university,white,buddhism,"english, latin (okay), dutch (poorly)"
anything,graduated from college/university,white,agnosticism,"english, french (poorly)"
anything,graduated from college/university,white,other,"english (fluently), spanish (poorly)"
anything,graduated from college/university,asian,agnosticism,"english (fluently), chinese (fluently)"
anything,graduated from college/university,white,agnosticism,"english (fluently), french (poorly), spanish (poorly)"
anything,graduated from high school,white,other,english
anything,graduated from masters program,white,other,"english, german (fluently), spanish (fluently), french (okay), portuguese (poorly)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,other,english
anything,graduated from masters program,white,atheism,"english (fluently), italian (poorly), spanish (poorly)"
anything,graduated from college/university,other,agnosticism,english
anything,graduated from college/university,white,judaism,"english (fluently), spanish (poorly)"
anything,graduated from masters program,white,other,"english (fluently), french (okay)"
anything,graduated from masters program,white,atheism,"english (fluently), c++ (fluently)"
anything,graduated from college/university,asian,catholicism,english (fluently)
anything,graduated from college/university,white,agnosticism,"english, spanish (poorly)"
anything,graduated from college/university,asian,buddhism,"english (fluently), spanish (poorly), french (poorly)"
anything,graduated from high school,white,christianity,"english (fluently), japanese (poorly), spanish (poorly), german (poorly)"
anything,graduated from college/university,white,christianity,"english (fluently), spanish (okay)"
anything,graduated from college/university,other,other,"english (fluently), other (fluently)"
anything,graduated from college/university,"asian, white",other,english
anything,graduated from college/university,white,atheism,"english, spanish (okay)"
anything,graduated from college/university,black,christianity,"english (fluently), chinese (poorly), french (fluently), japanese (fluently), italian (poorly)"
anything,graduated from masters program,white,buddhism,"english (fluently), japanese (poorly), spanish (poorly), hawaiian (poorly)"
anything,graduated from college/university,other,christianity,"english (fluently), spanish (okay)"
anything,graduated from masters program,asian,christianity,"english, chinese (poorly), sign language (okay), french (poorly)"
anything,graduated from college/university,"asian, black, other",agnosticism,english (fluently)
anything,graduated from masters program,asian,christianity,"english (fluently), chinese (fluently), spanish (poorly)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from masters program,white,agnosticism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), italian (poorly)"
anything,graduated from high school,black,christianity,english
anything,graduated from masters program,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from masters program,hispanic / latin,catholicism,"english (fluently), spanish (okay)"
anything,graduated from college/university,black,agnosticism,english
other,graduated from college/university,white,agnosticism,english
anything,graduated from masters program,white,agnosticism,english
anything,graduated from college/university,"middle eastern, white",buddhism,"english (fluently), spanish (poorly), french (poorly)"
anything,graduated from high school,white,atheism,english (fluently)
vegetarian,graduated from college/university,white,buddhism,english
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from masters program,hispanic / latin,christianity,"english (fluently), spanish (fluently)"
anything,graduated from college/university,"native american, other",other,"english (fluently), sign language (fluently)"
anything,graduated from masters program,asian,atheism,"english (fluently), vietnamese (poorly)"
anything,graduated from college/university,white,christianity,"english (fluently), spanish (poorly), french (poorly)"
other,graduated from college/university,white,other,"english, german"
anything,graduated from college/university,white,agnosticism,english
vegetarian,graduated from masters program,white,agnosticism,"english (fluently), spanish (poorly)"
vegetarian,graduated from college/university,"hispanic / latin, white",christianity,english
anything,graduated from college/university,white,agnosticism,english (okay)
vegetarian,graduated from high school,white,agnosticism,"english (fluently), spanish (okay), russian (poorly)"
anything,graduated from college/university,hispanic / latin,agnosticism,"english, spanish"
anything,graduated from college/university,white,atheism,"english, chinese (poorly)"
anything,graduated from high school,"black, white",christianity,english (fluently)
anything,graduated from high school,"black, white",christianity,"english (fluently), spanish (poorly)"
anything,graduated from high school,asian,catholicism,"english (fluently), tagalog (okay)"
anything,graduated from masters program,white,judaism,english (fluently)
vegetarian,graduated from college/university,white,judaism,english
anything,graduated from ph.d program,other,atheism,"english (fluently), french (okay), german (poorly)"
anything,graduated from college/university,"hispanic / latin, white",agnosticism,"english, spanish (okay), chinese (poorly)"
anything,graduated from college/university,white,christianity,"english (fluently), thai (fluently)"
anything,graduated from masters program,white,other,"english (fluently), french (okay), russian (poorly)"
anything,graduated from college/university,pacific islander,catholicism,english (fluently)
anything,graduated from masters program,"asian, white",buddhism,"english, japanese (poorly)"
anything,graduated from masters program,other,other,"english (fluently), tagalog (poorly), french (poorly), italian (poorly), spanish (poorly)"
anything,graduated from high school,white,atheism,english
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,agnosticism,english (fluently)
vegetarian,graduated from college/university,indian,hinduism,"english (fluently), german (poorly)"
vegetarian,graduated from masters program,indian,hinduism,"english (fluently), spanish (okay)"
anything,graduated from high school,white,buddhism,"english, spanish"
anything,graduated from college/university,black,agnosticism,"english (fluently), spanish (poorly)"
vegetarian,graduated from high school,white,atheism,english (fluently)
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,christianity,english
anything,graduated from college/university,white,buddhism,english (fluently)
vegetarian,graduated from masters program,white,judaism,"english (fluently), russian (fluently)"
anything,graduated from masters program,white,agnosticism,"english, german (okay)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from high school,"hispanic / latin, white",atheism,english (fluently)
anything,graduated from college/university,asian,agnosticism,"english (fluently), chinese (fluently)"
anything,graduated from college/university,"middle eastern, native american, white",atheism,"english (fluently), farsi (okay), spanish (okay), german (poorly)"
anything,graduated from college/university,white,buddhism,"english (fluently), latin (poorly)"
